time (yyyyMMdd_HHmmss.SSS),observed_flux (solar flux unit (SFU)),adjusted_flux (solar flux unit (SFU))
19470214_164800.001,260.4,254.0
19470217_164800.001,234.2,228.8
19470219_164800.001,183.1,179.0
19470220_164800.001,167.4,163.7
19470224_164800.001,167.7,164.3
19470225_164800.001,196.7,192.8
19470226_164800.001,174.6,171.2
19470228_164800.001,237.9,233.5
19470305_164800.001,311.1,306.1
19470306_164800.001,310.7,305.9
19470307_164800.001,326.2,321.3
19470308_164800.001,350.5,345.4
19470310_164800.001,330.2,325.8
19470311_164800.001,307.3,303.3
19470312_164800.001,309.0,305.2
19470313_164800.001,363.9,359.6
19470314_164800.001,270.1,267.1
19470315_164800.001,225.5,223.1
19470317_164800.001,181.4,179.7
19470318_164800.001,158.5,157.1
19470319_164800.001,142.2,141.0
19470320_164800.001,142.2,141.1
19470321_164800.001,150.8,149.7
19470322_164800.001,160.2,159.1
19470324_164800.001,165.3,164.4
19470325_164800.001,161.5,160.7
19470326_164800.001,182.5,181.7
19470327_164800.001,195.1,194.3
19470328_164800.001,199.8,199.1
19470329_164800.001,227.4,226.8
19470330_164800.001,227.4,226.9
19470331_164800.001,258.5,258.1
19470401_164800.001,252.5,252.2
19470402_164800.001,261.1,261.0
19470403_164800.001,302.0,302.0
19470404_164800.001,296.4,296.6
19470405_164800.001,347.2,347.6
19470407_164800.001,457.0,458.1
19470408_164800.001,423.8,425.0
19470409_164800.001,356.5,357.7
19470410_164800.001,334.8,336.2
19470411_164800.001,298.6,300.0
19470412_164800.001,234.4,235.6
19470414_164800.001,168.0,169.1
19470417_164800.001,156.8,158.1
19470418_164800.001,158.5,159.9
19470419_164800.001,153.8,155.2
19470421_164800.001,157.6,159.2
19470422_164800.001,165.4,167.2
19470423_164800.001,186.9,189.0
19470424_164800.001,226.8,229.5
19470425_164800.001,237.6,240.6
19470426_164800.001,296.6,300.4
19470428_164800.001,281.5,285.4
19470429_164800.001,294.0,298.3
19470430_164800.001,291.8,296.2
19470501_164800.001,258.7,262.7
19470502_164800.001,265.1,269.3
19470503_164800.001,272.4,276.9
19470505_164800.001,262.5,267.1
19470506_164800.001,219.5,223.5
19470507_164800.001,235.8,240.2
19470508_164800.001,226.3,230.6
19470509_164800.001,220.3,224.6
19470510_164800.001,221.6,226.0
19470512_164800.001,235.4,240.3
19470513_164800.001,255.7,261.2
19470514_164800.001,191.1,195.3
19470515_164800.001,181.9,185.9
19470516_164800.001,230.4,235.6
19470517_164800.001,234.3,239.7
19470519_164800.001,247.6,253.5
19470520_164800.001,282.4,289.3
19470521_164800.001,328.0,336.1
19470522_164800.001,293.6,301.0
19470523_164800.001,327.6,336.0
19470526_164800.001,299.6,307.6
19470527_164800.001,293.6,301.5
19470528_164800.001,337.5,346.7
19470529_164800.001,326.7,335.7
19470530_164800.001,289.3,297.4
19470531_164800.001,253.6,260.7
19470602_164800.001,252.7,260.0
19470603_164800.001,219.1,225.5
19470604_164800.001,214.8,221.1
19470605_164800.001,214.8,221.2
19470606_164800.001,210.5,216.8
19470607_164800.001,237.6,244.8
19470610_164800.001,239.3,246.7
19470611_164800.001,182.6,188.3
19470612_164800.001,146.5,151.1
19470613_164800.001,170.1,175.5
19470614_164800.001,171.0,176.4
19470616_164800.001,177.9,183.6
19470617_164800.001,208.4,215.2
19470618_164800.001,250.9,259.1
19470619_164800.001,278.0,287.1
19470620_164800.001,270.3,279.2
19470621_164800.001,287.0,296.5
19470623_164800.001,282.3,291.7
19470624_164800.001,258.2,266.8
19470625_164800.001,261.7,270.4
19470626_164800.001,234.6,242.4
19470627_164800.001,220.0,227.4
19470628_164800.001,244.5,252.7
19470630_164800.001,205.8,212.7
19470702_164800.001,194.5,201.1
19470703_164800.001,196.2,202.8
19470704_164800.001,203.6,210.5
19470705_164800.001,197.5,204.2
19470707_164800.001,209.6,216.7
19470708_164800.001,198.8,205.5
19470709_164800.001,195.0,201.6
19470710_164800.001,204.4,211.3
19470711_164800.001,210.9,218.0
19470712_164800.001,204.4,211.2
19470714_164800.001,216.4,223.6
19470715_164800.001,225.9,233.4
19470716_164800.001,259.4,268.0
19470717_164800.001,271.0,280.0
19470718_164800.001,251.7,260.0
19470719_164800.001,254.3,262.6
19470721_164800.001,244.4,252.3
19470722_164800.001,256.4,264.7
19470723_164800.001,237.5,245.1
19470724_164800.001,236.6,244.1
19470725_164800.001,201.8,208.2
19470726_164800.001,202.3,208.7
19470728_164800.001,164.0,169.1
19470729_164800.001,170.0,175.2
19470730_164800.001,176.5,181.9
19470731_164800.001,212.2,218.6
19470801_164800.001,216.7,223.2
19470802_164800.001,231.3,238.2
19470804_164800.001,244.6,251.7
19470805_164800.001,241.6,248.6
19470806_164800.001,252.8,260.0
19470807_164800.001,296.1,304.5
19470808_164800.001,290.1,298.2
19470809_164800.001,307.7,316.2
19470811_164800.001,315.0,323.5
19470812_164800.001,319.7,328.2
19470813_164800.001,294.4,302.2
19470814_164800.001,296.5,304.2
